selected,doi,gsid,type,title,journal,author,date,score,times_cited
,10.1038/s43017-021-00244-x,bzZYiBgAAAAJ:LkGwnXOMwfcC,journal-article,Challenges and opportunities for carbon neutrality in China,Nature Reviews Earth & Environment,"Zhu Liu, Zhu Deng, Gang He, Hailin Wang, Xian Zhang, Jiang Lin, Ye Qi, Xi Liang",2021/12/21,66.65,853
,10.1016/j.xinn.2021.100182,bzZYiBgAAAAJ:_FxGoFyzp5QC,journal-article,Near-real-time global gridded daily CO2 emissions,The Innovation,"Xinyu Dou, Yilong Wang, Philippe Ciais, Fr¨¦d¨¦ric Chevallier, Steven J Davis, Monica Crippa, Greet Janssens-Maenhout, Diego Guizzardi, Efisio Solazzo, Feifan Yan, Da Huo, Bo Zheng, Biqing Zhu, Duo Cui, Piyu Ke, Taochun Sun, Hengqi Wang, Qiang Zhang, Pierre Gentine, Zhu Deng, Zhu Liu",2021/11/2,66.85,51
,10.1016/s2542-5196(21)00131-5,bzZYiBgAAAAJ:UebtZRa9Y70C,journal-article,Population ageing and deaths attributable to ambient PM2Â·5 pollution: a global analysis of economic cost,The Lancet Planetary Health,"Hao Yin, Michael Brauer, Junfeng Jim Zhang, Wenjia Cai, St_le Navrud, Richard Burnett, Courtney Howard, Zhu Deng, Daniel M Kammen, Hans Joachim Schellnhuber, Kai Chen, Haidong Kan, Zhan-Ming Chen, Bin Chen, Ning Zhang, Zhifu Mi, D'Maris Coffman, Aaron J Cohen, Dabo Guan, Qiang Zhang, Peng Gong, Zhu Liu",2021/6/10,56.7,85
,10.1360/tb-2020-0729,bzZYiBgAAAAJ:vV6vV6tmYwMC,journal-article,Impact on China's CO2 emissions from COVID-19 pandemic,Chinese Science Bulletin,"Zhu Liu, Duo Cui, Zhu Deng, Yilong Wang, Haiwang Zhong, Xu Yue, Ning Zhang, Bin Chen, Xiaobo Ren, Wei Wei, Yonglong L¨¹, Kejun Jiang, Xinyu Dou, Biqing Zhu, Rui Guo, Taochun Sun, Piyu Ke, Dabo Guan, Peng Gong",2021/5/28,,
,10.1016/j.adapen.2021.100017,bzZYiBgAAAAJ:TFP_iSt0sucC,journal-article,Estimates of daily ground-level NO2 concentrations in China based on Random Forest model integrated K-means,Advances in Applied Energy,"Xinyu Dou, Cuijuan Liao, Hengqi Wang, Ying Huang, Ying Tu, Xiaomeng Huang, Yiran Peng, Biqing Zhu, Jianguang Tan, Zhu Deng, Nana Wu, Taochun Sun, Piyu Ke, Zhu Liu",2021/3/20,2.5,25
1,10.1038/s41597-020-00708-7,bzZYiBgAAAAJ:Y0pCki6q_DkC,journal-article,"Carbon Monitor, a near-real-time daily dataset of global CO2 emission from fossil fuel and cement production",Scientific Data,"Zhu Liu_, Philippe Ciais_, Zhu Deng_, Steven J Davis, Bo Zheng, Yilong Wang, Duo Cui, Biqing Zhu, Xinyu Dou, Piyu Ke, Taochun Sun, Rui Guo, Haiwang Zhong, Olivier Boucher, Fran_ois-Marie Br¨¦on, Chenxi Lu, Runtao Guo, Jinjun Xue, Eulalie Boucher, Katsumasa Tanaka, Fr¨¦d¨¦ric Chevallier",2020/11/9,41.6,163
,10.1029/2020gl090244,bzZYiBgAAAAJ:YsMSGLbcyi4C,journal-article,Local anomalies in the column_averaged dry air mole fractions of carbon dioxide across the globe during the first months of the coronavirus recession,Geophysical Research Letters,"Fr¨¦d¨¦ric Chevallier, Bo Zheng, Gr¨¦goire Broquet, Philippe Ciais, Zhu Liu, Steven J Davis, Zhu Deng, Yilong Wang, Fran_ois_Marie Br¨¦on, Christopher W O'Dell",2020/10/30,19.45,41
1,10.1038/s41467-020-18922-7,bzZYiBgAAAAJ:Tyk-4Ss8FVUC,journal-article,Near-real-time monitoring of global CO2 emissions reveals the effects of the COVID-19 pandemic,Nature Communications,"Zhu Liu_, Philippe Ciais_, Zhu Deng_, Ruixue Lei, Steven J Davis, Sha Feng, Bo Zheng, Duo Cui, Xinyu Dou, Biqing Zhu, Rui Guo, Piyu Ke, Taochun Sun, Chenxi Lu, Pan He, Yuan Wang, Xu Yue, Yilong Wang, Yadong Lei, Hao Zhou, Zhaonan Cai, Yuhui Wu, Runtao Guo, Tingxuan Han, Jinjun Xue, Olivier Boucher, Eulalie Boucher, Fr¨¦d¨¦ric Chevallier, Katsumasa Tanaka, Yiming Wei, Haiwang Zhong, Chongqing Kang, Ning Zhang, Bin Chen, Fengming Xi, Miaomiao Liu, Fran_ois-Marie Br¨¦on, Yonglong Lu, Qiang Zhang, Dabo Guan, Peng Gong, Daniel M Kammen, Kebin He, Hans Joachim Schellnhuber",2020/10/14,1869.93,586
,10.1016/j.resconrec.2020.105167,bzZYiBgAAAAJ:W7OEmFMy1HYC,journal-article,Global and local carbon footprints of city of Hong Kong and Macao from 2000 to 2015,"Resources, Conservation and Recycling","Xinyu Dou, Zhu Deng, Taochun Sun, Piyu Ke, Biqing Zhu, Yuli Shan, Zhu Liu",2020/10/5,1,26
,10.1007/s11430-019-9635-x,bzZYiBgAAAAJ:hMod-77fHWUC,journal-article,Embodied carbon emissions in China-US trade,Science China Earth Sciences,"Zhu Liu, Jing Meng, Zhu Deng, Ping Lu, Dabo Guan, Qiang Zhang, Kebin He, Peng Gong",2020/8/11,20.25,36
,10.1016/j.apenergy.2019.113537,bzZYiBgAAAAJ:UeHWp8X0CEIC,journal-article,China¡¯s non-fossil fuel CO2 emissions from industrial processes,Applied Energy,"Duo Cui, Zhu Deng, Zhu Liu",2019/8/8,0.5,48
,10.1016/j.apenergy.2019.113498,bzZYiBgAAAAJ:qjMakFHDy7sC,journal-article,Incorporating health co-benefits into regional carbon emission reduction policy making: A case study of China¡¯s power sector,Applied Energy,"Chaoji Cao, XueQin Cui, Wenjia Cai, Can Wang, Lu Xing, Ning Zhang, Shudong Shen, Yuqi Bai, Zhu Deng",2019/7/12,,
,10.1021/acs.est.9b01117,bzZYiBgAAAAJ:2osOgNQ5qMEC,journal-article,Fusion method combining ground-level observations with chemical transport model predictions using an ensemble deep learning framework: application in China to estimate spatiotemporally-resolved PM2.5 exposure fields in 2014_2017,Environmental Science & Technology,"Baolei Lyu, Yongtao Hu, Wenxian Zhang, Yunsong Du, Bin Luo, Xiaoling Sun, Zhe Sun, Zhu Deng, Xiaojiang Wang, Jun Liu, Xuesong Wang, Armistead G. Russell",2019/6/6,0.25,46
,10.1109/agro-geoinformatics.2016.7577677,bzZYiBgAAAAJ:u5HHmVD_uO8C,proceedings-article,Floating car data processing model based on Hadoop-GIS tools,2016 Fifth International Conference on Agro-Geoinformatics (Agro-Geoinformatics),"Zhu Deng, Yuqi Bai",2016/9/29,,
